src_ip,dst_ip,src_port,dst_port,num_packets,iat_min,iat_max,iat_mean,pkt_size_min,pkt_size_max,pkt_size_mean,total_bytes,syn_count,rst_count,fin_count
150.121.90.56,114.217.177.14,3302,17536,1,0,0,0,66,66,66,66,1,0,0
51.144.153.210,202.230.192.202,43501,8090,1,0,0,0,54,54,54,54,1,0,0
167.94.143.248,133.131.110.159,37910,5683,1,0,0,0,74,74,74,74,1,0,0
4.153.219.73,203.77.6.54,52296,3479,1,0,0,0,54,54,54,54,1,0,0
203.199.81.18,203.77.43.116,51867,8728,1,0,0,0,54,54,54,54,1,0,0
94.134.41.57,202.101.48.236,443,25565,1,0,0,0,74,74,74,74,1,0,0
114.18.61.212,133.131.92.181,51120,2323,1,0,0,0,54,54,54,54,1,0,0
101.115.105.13,150.121.103.114,53732,23,1,0,0,0,74,74,74,74,1,0,0
78.135.12.249,133.131.92.212,56476,18155,1,0,0,0,54,54,54,54,1,0,0
150.121.54.111,117.19.56.142,52511,12402,1,0,0,0,78,78,78,78,1,0,0
157.81.66.210,151.138.184.119,35134,80,15,9.5367431640625e-07,0.17882490158081055,0.06241520813533238,54,66,59.6,894,0,0,0
161.62.41.137,203.77.70.198,58084,2380,1,0,0,0,74,74,74,74,1,0,0
45.127.47.35,202.230.203.8,48334,1005,1,0,0,0,58,58,58,58,1,0,0
175.41.222.193,203.77.82.61,443,47580,8,3.314018249511719e-05,0.30280280113220215,0.08513484682355608,54,66,64.5,516,0,1,1
141.228.228.15,203.77.87.2,49739,8080,1,0,0,0,54,54,54,54,1,0,0
150.121.54.111,117.19.56.142,52510,6531,1,0,0,0,78,78,78,78,1,0,0
162.143.133.147,150.121.145.48,10364,51279,1,0,0,0,74,74,74,74,1,0,0
185.52.116.44,150.121.96.42,38963,3389,1,0,0,0,54,54,54,54,1,0,0
185.52.116.44,150.121.107.6,48806,3389,1,0,0,0,54,54,54,54,1,0,0
110.27.43.126,157.81.200.156,37316,23,1,0,0,0,74,74,74,74,1,0,0
79.16.56.140,202.230.199.72,40220,22222,1,0,0,0,54,54,54,54,1,0,0
